2,1578.587,118.340,79.119,40.165,94.493,23690.358
4,827.766,68.177,51.863,24.624,52.264,12622.050
6,552.728,51.938,44.074,19.772,38.468,8978.150
8,433.671,43.396,39.249,17.327,31.462,7047.499
10,372.719,38.031,36.977,15.696,27.356,5903.674
12,316.350,34.455,34.666,14.509,24.167,5217.607
14,263.301,32.437,32.842,13.710,22.144,4561.661
16,255.681,31.826,32.588,13.376,20.864,4377.801
18,206.021,30.940,31.053,12.811,19.487,3912.881
20,202.024,31.192,31.388,12.499,18.456,3674.255
22,197.761,31.089,30.031,12.191,17.602,3507.910
24,194.592,31.668,30.788,12.254,17.500,3422.204
26,191.558,31.201,29.992,11.938,16.637,3189.159
28,147.113,31.687,31.347,11.735,16.003,2856.439
30,145.336,31.466,31.090,11.931,16.019,2875.652
32,143.212,31.510,29.241,11.743,15.645,2818.612
34,141.689,30.824,28.180,11.370,14.875,2768.613
36,137.664,30.875,28.079,11.216,14.483,2706.460
38,137.302,31.937,29.284,11.392,14.616,2724.119
40,136.613,31.177,28.505,11.188,14.191,2694.582
42,135.715,31.575,28.805,11.080,14.281,2548.648
44,134.352,31.605,30.942,11.290,13.915,2516.332
46,133.600,31.282,28.656,10.971,13.864,2524.935
48,133.486,31.094,28.241,10.936,13.649,2567.571
50,132.825,30.680,28.027,10.690,13.080,2272.282
52,132.682,30.633,28.637,10.669,13.073,2217.329
54,96.740,31.321,30.079,11.129,13.454,2198.210
56,96.392,31.165,28.971,10.886,12.867,2083.057
58,96.205,31.247,28.643,10.708,12.816,2084.258
60,96.237,31.107,28.116,10.728,12.852,2079.859
62,96.261,31.254,28.395,10.678,12.723,2096.784
64,96.974,30.961,27.502,10.684,12.865,2093.484
66,96.593,30.846,26.707,10.841,12.356,2078.914
68,96.865,30.824,27.988,11.121,12.569,2031.341
